opis_id,name,address,city,state,retail_price,latitude,longitude
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,2.999,37.398300,-84.337900
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,3.359,29.170300,-82.148907
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,3.41233333,29.170300,-82.148907
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,3.039,30.472000,-91.254100
243,SAVE,US-41 & SR-10,Lake Village,IN,3.179,41.138700,-87.445400
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,2.98233333,30.191200,-92.152500
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,3.729,29.957052,-90.070359
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,3.499,38.878200,-99.334800
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,3.32566666,35.147450,-90.181200
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville,MD,3.899,39.655100,-79.124100
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls,MT,3.63566666,47.526960,-111.280840
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,3.559,41.936200,-86.554300
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,3.399,37.756900,-100.024100
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.299,41.918650,-83.458350
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.249,41.918650,-83.458350
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.439,41.918650,-83.458350
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.349,41.918650,-83.458350
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,3.559,41.918650,-83.458350
278,CARLISLE PLAZA,US-41,Carlisle,IN,3.499,38.976300,-87.366700
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,3.399,39.295300,-85.949800
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,3.229,38.967180,-95.251060
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,3.23233333,37.266800,-95.559000
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,3.25566666,38.144800,-96.554100
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,3.599,42.124379,-72.572732
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,3.199,39.104587,-94.692920
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,3.46566666,41.127500,-101.710700
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard,UT,3.749,41.398900,-112.031700
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,3.469,30.081500,-81.547700
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,3.99066666,41.567200,-87.175700
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.769,42.113000,-75.893600
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.689,42.113000,-75.893600
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.699,42.113000,-75.893600
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,3.739,42.113000,-75.893600
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,3.31566666,30.311931,-81.653317
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort,NY,3.749,43.180300,-73.705300
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort,NY,3.799,43.180300,-73.705300
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,3.999,41.575180,-87.469720
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,2.91566666,31.961800,-95.270300
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,3.489,32.680540,-114.558540
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,3.719,40.265500,-82.851100
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,3.699,41.022700,-81.856200
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,3.429,39.953500,-82.491900
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg,OH,3.499,41.549950,-83.609950
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,3.30233333,35.494951,-97.488642
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,2.899,35.471800,-97.272600
425,Neighbors Express,"I-16, EXIT 51",Dublin,GA,3.299,32.499700,-82.926550
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,3.324,42.114900,-102.888000
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,3.26566666,37.945100,-77.471400
456,THE COUNTRY OASIS,US-24,Woodburn,IN,3.399,41.125300,-84.853300
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,3.399,40.430600,-95.527400
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,3.079,33.958100,-81.391400
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,3.26233333,33.514425,-80.866075
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,3.259,37.473150,-105.880200
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,3.299,32.429600,-88.489200
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina,ND,3.299,48.859000,-97.288600
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,2.97566666,36.696100,-101.477800
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo,TX,3.299,27.518557,-99.461743
489,EDDIES CORNER,US-87 & US-191,Moore,MT,3.749,46.975500,-109.696900
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,2.999,36.115000,-84.043800
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,3.439,35.971652,-83.964548
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,3.649,31.039100,-104.824500
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,3.649,31.039100,-104.824500
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City,OH,3.179,40.045900,-81.447900
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,3.26566666,34.308060,-83.863040
525,FASTBREAK,US-45 ALT,West Point,MS,3.059,33.607600,-88.650300
546,PLAZA 30,US-30,Wanatah,IN,3.499,41.384500,-86.876400
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,3.389,41.333000,-89.126500
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,3.589,41.333000,-89.126500
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,3.449,41.333000,-89.126500
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,3.289,41.333000,-89.126500
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,3.20733333,34.849100,-92.405900
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,3.83066666,41.579437,-87.339713
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,3.459,32.750900,-111.583300
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne,IN,3.899,41.089977,-85.100156
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne,IN,3.879,41.089977,-85.100156
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,3.624,30.251000,-92.500200
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,3.779,45.525400,-122.373900
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,3.67066666,41.596750,-109.216450
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,4.399,46.223200,-119.771000
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,4.559,46.223200,-119.771000
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,2.964,33.176700,-87.387100
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,3.22566666,38.977600,-93.581200
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,3.50066666,41.179250,-102.990750
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,3.599,43.643500,-72.247300
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,4.359,41.533300,-74.253400
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,3.15233333,41.802900,-80.947400
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,3.379,44.639000,-123.095150
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,2.98566666,35.895100,-88.091200
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,3.42566666,35.971652,-83.964548
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,3.499,31.934400,-106.592900
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,3.549,39.845700,-75.194300
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,3.20566666,45.352100,-97.042700
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,4.499,42.163100,-78.960000
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,3.499,37.694591,-97.341863
692,BP,US-63,Ottumwa,IA,3.399,41.030900,-92.409800
739,Arco #364420,US-23,Greenup,KY,3.649,38.536800,-82.919100
748,QUIKTRIP #4231,US-85,Evans,CO,3.17233333,40.380300,-104.697100
769,AYERCO #26,US-61/US-136,Alexandria,MO,3.01566666,40.344500,-91.515400
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,3.489,43.015800,-89.904200
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,3.379,42.379000,-87.816500
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,3.499,42.379000,-87.816500
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,3.289,42.379000,-87.816500
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,3.499,32.743900,-81.628700
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,3.499,35.147450,-90.181200
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,3.291,35.147450,-90.181200
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,3.46566666,33.293200,-86.768000
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,3.12566666,33.284500,-87.102400
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,3.03233333,35.094275,-92.400425
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,3.39233333,33.491612,-112.079255
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,3.959,33.698050,-114.216050
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,3.959,33.698050,-114.216050
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,3.53233333,43.194300,-112.361500
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,3.56566666,32.680540,-114.558540
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,3.449,39.606500,-75.604933
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,3.399,39.606500,-75.604933
1042,Union 76,US-441 & SR-100A,Lake City,FL,3.56233333,30.181375,-82.648025
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,3.259,30.181375,-82.648025
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,3.244,30.181375,-82.648025
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,3.60733333,30.744933,-85.214567
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,3.43233333,32.499700,-82.926550
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,3.399,32.499700,-82.926550
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,3.399,33.477400,-82.494200
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,3.399,42.019600,-95.363600
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,3.58233333,42.571400,-92.768800
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,3.799,42.586800,-114.246700
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,3.819,42.446000,-87.904000
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,3.879,42.446000,-87.904000
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,3.779,42.446000,-87.904000
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,3.769,42.446000,-87.904000
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,3.249,38.152700,-88.889400
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,3.399,40.116700,-87.782500
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,3.499,40.116700,-87.782500
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,3.599,40.116700,-87.782500
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,3.499,39.569200,-89.662600
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,3.959,39.790200,-85.814100
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,3.959,39.790200,-85.814100
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,3.759,39.806000,-85.526100
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,3.199,30.096600,-97.497600
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,3.599,39.504300,-85.787500
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute,IN,3.43566666,39.467675,-87.389000
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,3.869,41.471933,-87.073333
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,3.859,41.471933,-87.073333
1163,SHORT STOP #13,US-54,Emporia,KS,2.839,38.418400,-96.187100
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,3.20566666,38.211700,-84.556200
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,3.609,37.851100,-85.724600
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,3.384,30.869400,-91.418600
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,3.68233333,42.527400,-71.756300
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,3.599,39.564900,-76.059200
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,3.549,39.121700,-88.561100
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,3.349,39.121700,-88.561100
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,3.439,39.121700,-88.561100
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,3.399,39.121700,-88.561100
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,3.499,42.286470,-85.578710
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,3.099,42.286470,-85.578710
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw,MI,3.599,42.234900,-85.900500
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw,MI,3.559,42.234900,-85.900500
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,3.374,43.669500,-92.978400
1218,CASEYS #3658,SR-210,Pillager,MN,3.299,46.360700,-94.489500
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,3.01566666,39.334600,-91.196200
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,3.199,37.519100,-94.336400
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,3.01566666,39.791300,-91.536800
1240,TEMP STOP #103,US-65,Sedalia,MO,3.199,38.700300,-93.230300
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,3.299,36.728400,-91.871700
1251,MAPCO #3009,US-72,Corinth,MS,3.154,34.898200,-88.556700
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,3.25566666,33.366600,-90.995675
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,2.97233333,34.893700,-89.564900
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,3.94733333,36.097900,-79.271900
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,3.08233333,35.465533,-79.163333
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,3.629,34.199792,-77.886400
1326,SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,3.199,35.733550,-77.931675
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,3.30733333,40.907667,-98.410167
1340,BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,3.499,40.143100,-74.703200
